
Time;U_t;V_t;a_t;
0.033;4.099E-2; 0.0; 0.0
0.067;4.099E-2;-3.055E-5;0.0
0.100;4.099E-2;3.567E-5;-1.017E-4
0.133;4.099E-2;-4.658E-5;-3.278E-4
0.167;4.099E-2;-1.447E-5;1.276E-3
0.200;4.099E-2;7.495E-5;-9.686E-4
0.233;4.099E-2;-7.333E-5;2.364E-3
0.267;4.098E-2;1.411E-4;-4.147E-6
0.300;4.100E-2;1.054E-4;-3.037E-3
0.333;4.099E-2;-2.329E-4;-2.543E-3
0.367;4.098E-2;-1.524E-5;9.014E-2
0.400;4.099E-2;5.105E-3;0.367
0.433;4.132E-2;2.387E-2;0.680
0.467;4.258E-2;5.169E-2;0.788
0.500;4.477E-2;7.684E-2;0.642
0.533;4.770E-2;9.468E-2;0.345
0.567;5.108E-2;0.100;-5.515E-2
0.600;5.439E-2;9.092E-2;-0.460
0.633;5.714E-2;6.933E-2;-0.793
0.667;5.901E-2;3.805E-2;-0.996
0.700;5.968E-2;2.232E-3;-1.078
0.733;5.916E-2;-3.370E-2;-1.008
0.767;5.743E-2;-6.561E-2;-0.826
0.800;5.479E-2;-8.874E-2;-0.503
0.833;5.152E-2;-9.963E-2;-0.103
0.866;4.815E-2;-9.552E-2;0.310
0.900;4.515E-2;-7.872E-2;0.669
0.933;4.290E-2;-5.091E-2;0.950
0.966;4.176E-2;-1.502E-2;1.094
1.000;4.190E-2;2.251E-2;1.064
1.033;4.326E-2;5.615E-2;0.896
1.066;4.564E-2;8.244E-2;0.609
1.100;4.875E-2;9.715E-2;0.236
1.133;5.211E-2;9.811E-2;-0.188
1.166;5.529E-2;8.474E-2;-0.564
1.200;5.776E-2;5.998E-2;-0.866
1.233;5.929E-2;2.712E-2;-1.036
1.266;5.957E-2;-9.744E-3;-1.068
1.300;5.864E-2;-4.431E-2;-0.946
1.333;5.662E-2;-7.309E-2;-0.725
1.366;5.377E-2;-9.282E-2;-0.386
1.400;5.043E-2;-9.920E-2;2.378E-2
1.433;4.715E-2;-9.099E-2;0.432
1.466;4.437E-2;-7.039E-2;0.767
1.500;4.246E-2;-3.961E-2;1.032
1.533;4.173E-2;-4.641E-3;1.121
1.566;4.217E-2;3.305E-2;1.069
1.600;4.382E-2;6.391E-2;0.882
1.633;4.643E-2;8.752E-2;0.512
1.666;4.965E-2;9.835E-2;0.113
1.700;5.299E-2;9.496E-2;-0.297
1.733;5.598E-2;7.849E-2;-0.642
1.766;5.822E-2;5.185E-2;-0.916
1.800;5.944E-2;1.746E-2;-1.048
1.833;5.938E-2;-1.884E-2;-1.045
1.866;5.818E-2;-5.205E-2;-0.896
1.900;5.591E-2;-7.913E-2;-0.638
1.933;5.291E-2;-9.477E-2;-0.282
1.966;4.959E-2;-9.786E-2;0.121
2.000;4.638E-2;-8.693E-2;0.512
2.033;4.380E-2;-6.327E-2;0.836
2.066;4.217E-2;-3.105E-2;1.033
